er
jeg
det
du
ikke
i
at
en
og
har
vi
til
på
hvad
med
mig
så
for
de
dig
der
den
han
kan
af
vil
var
her
et
skal
ved
nu
men
om
ja
som
nej
min
noget
ham
hun
bare
kom
være
din
hvor
dem
ud
os
hvis
må
se
godt
have
fra
ville
okay
gør
lige
op
alle
lad
hvorfor
tak
tror
sig
kommer
hvordan
meget
hende
få
gøre
kunne
eller
gå
hvem
man
bliver
nok
havde
da
går
ingen
tilbage
efter
sagde
når
alt
jo
to
mit
ind
hej
aldrig
lidt
nogen
over
også
måske
mand
siger
far
skulle
selv
mere
får
hans
ser
vores
jer
sådan
dit
kun
deres
sammen
hele
mor
igen
blev
hold
tager
ned
mine
komme
dag
undskyld
tage
åh
denne
sige
dette
blive
god
helt
væk
været
fordi
end
laver
tag
gang
år
før
gjorde
tid
nogle
sted
mener
mange
fik
lille
dine
ting
altid
virkelig
mr
hjem
gud
siden
vent
elsker
anden
folk
brug
tale
gerne
finde
kender
hør
stadig
lide
andre
liv
e
fint
set
fanden
uden
vel
vej
klar
tre
nå
giv
ret
l
tog
penge
mod
skat
hen
hr
bedre
sidste
troede
aften
sir
sker
gjort
død
hendes
ven
vide
vær
morgen
intet
første
gik
arbejde
jeres
blevet
andet
hjælpe
give
samme
synes
forstår
høre
sin
vidste
hjælp
hey
navn
bedste
giver
under
eneste
holde
endnu
burde
ok
venner
engang
sikker
stop
taler
tro
fortælle
hedder
står
sikkert
nødt
længe
stor
fyr
pige
ude
bruge
måde
par
hver
fået
store
selvfølgelig
bange
hallo
lort
the
næste
verden
hos
døde
først
behøver
holder
øjeblik
børn
ellers
faktisk
skete
snart
finder
ihjel
ked
rigtigt
gamle
farvel
rigtig
lave
betyder
ligesom
mænd
tiden
fandt
stille
gode
ses
flere
kone
vist
galt
gange
pas
orden
slå
prøver
nye
disse
søn
huske
helvede
mennesker
altså
møde
lade
gav
fem
dage
bil
alene
sagt
derfor
slags
kvinde
én
a
taget
senere
bliv
minutter
skyld
dreng
dø
rundt
herfra
pis
rolig
hørt
kommet
hellere
klare
allerede
familie
hurtigt
ønsker
hører
hvornår
venter
vejen
bilen
kører
hvilken
glad
haft
livet
you
grund
fire
sæt
pa
hinanden
fortæl
hørte
hus
håber
kæft
frem
arbejder
heller
fundet
imod
politiet
nogensinde
ingenting
langt
snakke
sket
byen
tænkte
del
længere
dør
gået
lyder
sød
ny
begge
side
barn
dog
inden
ord
næsten
sent
sandt
ringer
køre
fejl
bror
job
problem
sa
lang
sjovt
vise
inde
ondt
sgu
jack
virker
prøve
tænker
pengene
slap
problemer
leder
forbi
dr
hjemme
omkring
løb
mens
spørgsmål
færdig
snakker
videre
dræbe
gammel
ti
john
sit
drenge
fat
indtil
velkommen
bag
mad
sidder
kalder
egen
ad
tænke
bor
fortalte
ligner
klarer
slår
flot
bad
timer
ben
fantastisk
ligger
spise
stå
skide
spille
fri
igennem
tænk
hader
nummer
new
g
døren
hovedet
hva
dollars
vente
lader
fast
chance
hånd
ringe
nat
r
slet
glem
stedet
datter
føler
piger
helst
ring
lavet
gennem
d
uge
prøv
kvinder
historie
resten
plads
tur
mest
svært
seks
ske
spiller
beklager
oh
stoppe
al
huset
kaptajn
stort
røven
gift
fortæller
leve
seng
mellem
time
lære
nyt
smuk
vand
passer
klokken
luk
søster
kæreste
fuld
begynder
by
miss
våben
fedt
værsgo
øjne
sine
kort
skynd
lyst
spørge
tæt
mrs
jorden
små
læg
holdt
måtte
hvilket
tænkt
jamen
alligevel
svin
lov
kære
husker
roligt
slog
lkke
herrer
