on
ma
ei
sa
see
et
ja
ta
kui
seda
kas
mis
me
mida
pole
jah
oma
ära
nii
siis
olen
aga
oled
siin
mu
kõik
nad
oli
mind
selle
midagi
te
mul
mulle
nüüd
ole
kes
minu
sind
su
kuidas
nagu
välja
mitte
mina
ka
sulle
sinu
tema
veel
või
miks
tagasi
sul
hea
küll
sina
meie
seal
väga
lihtsalt
saa
üks
teda
teie
olla
kus
need
tule
siia
tead
olgu
oleks
palun
hästi
palju
tere
kuid
teha
tea
juba
sellest
eest
pärast
oleme
meil
tean
vaata
ainult
keegi
tänan
oh
peale
mees
kunagi
isa
ju
tahad
hei
tahan
neid
pean
just
talle
maha
minema
tee
jumal
teed
mine
läheb
arvan
ema
sest
teid
saab
tõesti
tal
läbi
üle
enam
olete
meid
kohe
korras
olnud
asi
vaja
anna
aru
koos
pead
taha
täna
tuleb
olema
kurat
kaks
vastu
üles
minna
kinni
sinuga
sisse
aega
enne
isegi
lähme
saan
võta
nende
siit
ning
öelda
kogu
ikka
peame
lase
raha
saad
võib
pea
elu
vaid
ise
teile
oota
jaoks
olid
valmis
alati
end
peaks
ütle
ütles
rohkem
muidugi
vabandust
alla
sinna
saada
minuga
praegu
liiga
lahti
kuhu
eks
parem
sellega
arvad
aeg
head
juurde
tore
kuule
korda
suur
teada
olin
meeldib
näha
selles
rääkida
temaga
teil
nimi
kindel
kohta
ütlesin
ette
edasi
peab
õigus
hr
ühe
näed
kõige
meile
lähen
kuradi
teen
juhtus
tegema
surnud
ennast
noh
näinud
ega
koju
härra
teeb
väike
kallis
inimesed
tegelikult
iga
võin
sain
päris
teeme
pane
ilma
räägi
las
viga
kahju
poiss
natuke
mingi
toimub
polnud
kuni
aitäh
said
kolm
saanud
kokku
kena
teinud
kord
võid
enda
asja
aastat
vist
kaasa
no
naine
tähendab
suuda
sõber
läks
neile
ongi
armastan
õige
tahab
täpselt
jälle
saame
tüdruk
sama
päeva
töö
kätte
all
terve
ärge
kindlasti
ütlesid
arvasin
okei
söör
millest
sai
kuula
neil
mille
tulen
endale
tuli
tegid
mõned
tulla
lõpeta
kaua
kedagi
hakkama
selline
kuna
vana
päev
poleks
keda
üldse
usu
äkki
hoia
kust
kõike
sellele
mingit
jäta
ütlen
suurepärane
ajal
sir
tulge
teine
asjad
asju
tunne
aidata
tegi
võtta
auto
järgi
näen
kullake
tundub
homme
räägin
ah
mõtlesin
milline
sellepärast
hiljem
mõtlen
viis
mr
võiks
jää
tunnen
teate
räägid
juures
nägin
lähed
poole
tegin
ehk
selleks
ilus
saaks
alles
vaadake
peaksid
selge
vabandage
eriti
väljas
aitab
kiiresti
pidanud
ok
tööd
sel
käia
taga
elus
peal
vait
sinust
poolt
maja
aasta
ees
teist
sellist
läinud
kell
tahtsin
varem
uuesti
sellel
õhtul
võibolla
esimene
näe
parim
koht
poisid
abi
minge
järele
raske
osa
eemale
lapsed
millal
võtan
minust
tõsiselt
seega
mehed
jama
pool
loodan
ümber
neist
persse
näeme
iganes
teab
uus
täiesti
poeg
sealt
maailma
piisavalt
andeks
muretse
võimalik
kapten
tappa
paar
tõsi
peaaegu
vahel
samuti
neetud
saama
vajan
proua
kuulnud
vähemalt
lähe
kelle
oleksin
peaksin
oleksid
rääkima
nalja
aja
ringi
sõbrad
jääb
panna
lugu
veidi
kutt
john
tahaks
tehtud
laps
viimane
hakkab
surma
läheme
meeldi
dr
anda
ainus
tohi
vend
võime
ütleb
jack
probleem
sees
inimesi
öelnud
olemas
kõiki
hommikul
tahtnud
lõpuks
võtke
täis
lahe
kodus
perse
üksi
annan
minutit
järgmine
issand
eile
ilmselt
niimoodi
temast
tuled
paistab
mäletad
kuulsin
jääda
unusta
otse
võimalus
heaks
varsti
tunned
hetk
sõna
mööda
leida
mõtled
rahune
tahate
inimene
too
neli
teiega
armas
umbes
laske
meiega
juhtub
hull
kõigest
käes
mõte
kutid
oodake
vabanda
muud
käed
halloo
politsei
loomulikult
tulevad
nime
meest
näeb
mõni
new
peaksime
usun
tulid
halb
hoida
aita
tänu
vaatame
räägib
teise
teadnud
niisiis
päeval
mõtle
ööd
õnnelik
kuradit
lasta
peate
saavad
istu
tulin
kohal
vaatan
uskuda
otsa
juhul
igal
nägid
dollarit
mehe
naljakas
jaa
ühte
vaadata
tähtis
saate
hommikust
tööle
käsi
ükskõik
olge
kao
mõlemad
saaksin
preili
jätta
käest
ühel
tundi
number
maa
kellegi
ütlema
mõista
tahavad
nimel
süüa
tahaksin
arva
jumala
sobib
teised
pidi
õde
rääkinud
teevad
pihta
võtaks
teete
kadunud
semu
teadsin
rääkis
uue
haiget
pisut
oi
jooksul
hakka
tubli
meist
õnne
kohale
paremini
leidsin
püha
suure
uks
linna
kuulda
vale
relv
tulnud
nendega
tõeline
nemad
jeesus
hetkel
olevat
näita
nõus
andke
tulemast
kuus
kuuled
kahe
a
millega
rahu
võtab
võtame
üsna
lihtne
kellega
pidin
mingeid
silmad
ameerika
siiski
mõne
kardan
räägime
jalga
paha
ikkagi
elada
teeks
saime
oo
ütled
teel
vaatama
suri
iial
mängu
nägemist
võite
üleval
väärt
vahele
kuigi
suudad
püsti
charlie
muidu
jäänud
käib
mängida
issi
naise
valesti
rääkisin
ometi
mõelnud
luba
kuradima
kõigile
onu
miski
tehke
oodata
kohtuda
doktor
tüdrukud
nägu
teame
tahtis
andis
võtma
olime
helistan
küsimus
frank
uut
hakkame
tüüp
i
helista
öö
pealt
moodi
lõbus
võttis
soovid
proovi
arvatavasti
töötab
ühtegi
magama
vihkan
silmas
võiksid
milleks
päästa
luban
korra
panen
hakkan
kasutada
tähelepanu
viia
meeldiv
appi
kuu
kuud
minuti
george
kooli
maailmas
värk
pask
tunni
rahule
käi
aastal
vajad
oska
saaksid
koer
milles
annab
loll
kiiremini
kuidagi
tulema
võivad
pange
joe
daamid
teadma
hoopis
lähedal
süü
vaba
tütar
vajab
näete
suu
ainuke
kõlab
lõpp
peavad
aidake
elab
jäi
vii
plaan
maailm
lasen
hilja
kellelegi
mõttes
vajame
sellise
tahtsid
meelde
idee
silma
õhtu
küsida
uskumatu
kuhugi
ruttu
emme
kontrolli
soovin
kolme
hoidke
pealegi
toon
haige
mitu
kõigi
ootab
osta
näiteks
kuulsid
ülejäänud
mike
igatahes
inimeste
liiguta
sam
majas
kiire
pähe
noor
kuningas
suutnud
ellu
leia
seotud
michael
poja
polegi
vähem
arust
must
meeldivad
mäng
tappis
pagan
õhku
lähevad
koha
kodu
vanemad
pikk
rahulikult
pidu
raisk
huvitav
sõda
alt
kõvasti
kuulake
tahame
tapa
probleeme
tom
jään
mäletan
jookse
härrased
esimest
endast
d
naist
käinud
boss
öösel
pani
juhtunud
võinud
